timestamp_utc,event,state,district,block,village,year,wqi_value,wqi_class,wqi_range,hhi_value,hhi_class,hhi_range,payload_json,result_json
2026-02-06T09:24:47.499625+00:00,predict_success,Tamil Nadu,Erode,,,2035,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Erode"", ""year"": ""2035""}","{""district"": ""Erode"", ""year"": 2035, ""wqi"": {""class"": ""Poor"", ""value"": 64.27, ""range"": [61.0, 68.07]}, ""hhi"": {""class"": ""Low"", ""value"": 0.09, ""range"": [0.0, 0.29]}, ""trend"": [{""year"": 2030, ""wqi_value"": 76.26, ""hhi_value"": 2.05, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2031, ""wqi_value"": 23.12, ""hhi_value"": 0.25, ""wqi_class"": ""Good"", ""hhi_class"": ""Low""}, {""year"": 2032, ""wqi_value"": 8.96, ""hhi_value"": 2.07, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2033, ""wqi_value"": 3.47, ""hhi_value"": 0.55, ""wqi_class"": ""Good"", ""hhi_class"": ""Low""}, {""year"": 2034, ""wqi_value"": 88.43, ""hhi_value"": 1.21, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Medium""}, {""year"": 2035, ""wqi_value"": 64.27, ""hhi_value"": 0.09, ""wqi_class"": ""Poor"", ""hhi_class"": ""Low""}, {""year"": 2036, ""wqi_value"": 14.31, ""hhi_value"": 0.81, ""wqi_class"": ""Good"", ""hhi_class"": ""Low""}, {""year"": 2037, ""wqi_value"": 82.96, ""hhi_value"": 0.74, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Low""}, {""year"": 2038, ""wqi_value"": 74.97, ""hhi_value"": 1.81, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2039, ""wqi_value"": 48.94, ""hhi_value"": 1.19, ""wqi_class"": ""Moderate"", ""hhi_class"": ""Medium""}, {""year"": 2040, ""wqi_value"": 18.66, ""hhi_value"": 1.65, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}]}"
2026-02-06T09:24:47.519454+00:00,predict_client,Tamil Nadu,Erode,,,2035,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Erode"", ""year"": ""2035""}",
2026-02-06T09:25:18.014890+00:00,calc_wqi,Tamil Nadu,Erode,,,2035,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Erode"", ""year"": ""2035"", ""inputs"": {""ph"": 7.2, ""do"": 6.5, ""tds"": 320, ""no3"": 18, ""cl"": 140, ""f"": 0.9}, ""output"": ""WQI: 55.95 - 60.00 - Moderate""}",
2026-02-06T09:26:15.586243+00:00,predict_success,Tamil Nadu,Chennai,,,2026,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Chennai"", ""year"": ""2026""}","{""district"": ""Chennai"", ""year"": 2026, ""wqi"": {""class"": ""Unfit"", ""value"": 85.72, ""range"": [81.92, 89.52]}, ""hhi"": {""class"": ""High"", ""value"": 1.57, ""range"": [1.5, 1.87]}, ""trend"": [{""year"": 2021, ""wqi_value"": 71.22, ""hhi_value"": 2.09, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2022, ""wqi_value"": 66.28, ""hhi_value"": 0.5, ""wqi_class"": ""Poor"", ""hhi_class"": ""Low""}, {""year"": 2023, ""wqi_value"": 19.9, ""hhi_value"": 0.15, ""wqi_class"": ""Good"", ""hhi_class"": ""Low""}, {""year"": 2024, ""wqi_value"": 47.65, ""hhi_value"": 1.65, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}, {""year"": 2025, ""wqi_value"": 78.4, ""hhi_value"": 2.29, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2026, ""wqi_value"": 85.72, ""hhi_value"": 1.57, ""wqi_class"": ""Unfit"", ""hhi_class"": ""High""}, {""year"": 2027, ""wqi_value"": 6.12, ""hhi_value"": 1.53, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2028, ""wqi_value"": 6.64, ""hhi_value"": 2.69, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2029, ""wqi_value"": 20.77, ""hhi_value"": 1.3, ""wqi_class"": ""Good"", ""hhi_class"": ""Medium""}, {""year"": 2030, ""wqi_value"": 45.01, ""hhi_value"": 2.02, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}, {""year"": 2031, ""wqi_value"": 57.96, ""hhi_value"": 0.76, ""wqi_class"": ""Moderate"", ""hhi_class"": ""Low""}]}"
2026-02-06T09:26:15.596361+00:00,predict_client,Tamil Nadu,Chennai,,,2026,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Chennai"", ""year"": ""2026""}",
2026-02-06T09:26:45.025047+00:00,predict_success,Tamil Nadu,Chennai,,,2026,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Chennai"", ""year"": ""2026""}","{""district"": ""Chennai"", ""year"": 2026, ""wqi"": {""class"": ""Unfit"", ""value"": 85.72, ""range"": [81.92, 89.52]}, ""hhi"": {""class"": ""High"", ""value"": 1.57, ""range"": [1.5, 1.87]}, ""trend"": [{""year"": 2021, ""wqi_value"": 71.22, ""hhi_value"": 2.09, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2022, ""wqi_value"": 66.28, ""hhi_value"": 0.5, ""wqi_class"": ""Poor"", ""hhi_class"": ""Low""}, {""year"": 2023, ""wqi_value"": 19.9, ""hhi_value"": 0.15, ""wqi_class"": ""Good"", ""hhi_class"": ""Low""}, {""year"": 2024, ""wqi_value"": 47.65, ""hhi_value"": 1.65, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}, {""year"": 2025, ""wqi_value"": 78.4, ""hhi_value"": 2.29, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2026, ""wqi_value"": 85.72, ""hhi_value"": 1.57, ""wqi_class"": ""Unfit"", ""hhi_class"": ""High""}, {""year"": 2027, ""wqi_value"": 6.12, ""hhi_value"": 1.53, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2028, ""wqi_value"": 6.64, ""hhi_value"": 2.69, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2029, ""wqi_value"": 20.77, ""hhi_value"": 1.3, ""wqi_class"": ""Good"", ""hhi_class"": ""Medium""}, {""year"": 2030, ""wqi_value"": 45.01, ""hhi_value"": 2.02, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}, {""year"": 2031, ""wqi_value"": 57.96, ""hhi_value"": 0.76, ""wqi_class"": ""Moderate"", ""hhi_class"": ""Low""}]}"
2026-02-06T09:26:45.054727+00:00,predict_client,Tamil Nadu,Chennai,,,2026,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Chennai"", ""year"": ""2026""}",
2026-02-06T10:02:21.563022+00:00,predict_success,Tamil Nadu,Tirunelveli,,,2050,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Tirunelveli"", ""year"": ""2050""}","{""district"": ""Tirunelveli"", ""year"": 2050, ""wqi"": {""class"": ""Moderate"", ""value"": 48.37, ""range"": [45.37, 51.37]}, ""hhi"": {""class"": ""High"", ""value"": 2.16, ""range"": [1.86, 2.46]}, ""trend"": [{""year"": 2045, ""wqi_value"": 46.55, ""hhi_value"": 0.48, ""wqi_class"": ""Moderate"", ""hhi_class"": ""Low""}, {""year"": 2046, ""wqi_value"": 30.35, ""hhi_value"": 1.71, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2047, ""wqi_value"": 56.49, ""hhi_value"": 0.24, ""wqi_class"": ""Moderate"", ""hhi_class"": ""Low""}, {""year"": 2048, ""wqi_value"": 86.68, ""hhi_value"": 1.07, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Medium""}, {""year"": 2049, ""wqi_value"": 84.97, ""hhi_value"": 0.03, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Low""}, {""year"": 2050, ""wqi_value"": 48.37, ""hhi_value"": 2.16, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}]}"
2026-02-06T10:02:21.578175+00:00,predict_client,Tamil Nadu,Tirunelveli,,,2050,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Tirunelveli"", ""year"": ""2050""}",
2026-02-06T10:03:27.862660+00:00,calc_wqi,Tamil Nadu,Tirunelveli,,,2050,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Tirunelveli"", ""year"": ""2050"", ""inputs"": {""ph"": 7.2, ""do"": 6.5, ""tds"": 320, ""no3"": 18, ""cl"": 140, ""f"": 0.9}, ""output"": ""WQI: 55.95 - 60.00 - Moderate""}",
2026-02-11T03:15:58.225950+00:00,predict_success,Tamil Nadu,Nilgiris,,,2050,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Nilgiris"", ""year"": ""2050""}","{""district"": ""Nilgiris"", ""year"": 2050, ""wqi"": {""class"": ""Moderate"", ""value"": 46.29, ""range"": [45.0, 49.29]}, ""hhi"": {""class"": ""High"", ""value"": 1.77, ""range"": [1.5, 2.07]}, ""trend"": [{""year"": 2045, ""wqi_value"": 46.48, ""hhi_value"": 2.79, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}, {""year"": 2046, ""wqi_value"": 78.62, ""hhi_value"": 1.03, ""wqi_class"": ""Poor"", ""hhi_class"": ""Medium""}, {""year"": 2047, ""wqi_value"": 86.78, ""hhi_value"": 0.64, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Low""}, {""year"": 2048, ""wqi_value"": 32.95, ""hhi_value"": 0.19, ""wqi_class"": ""Good"", ""hhi_class"": ""Low""}, {""year"": 2049, ""wqi_value"": 25.98, ""hhi_value"": 1.86, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2050, ""wqi_value"": 46.29, ""hhi_value"": 1.77, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}]}"
2026-02-11T03:15:58.250886+00:00,predict_client,Tamil Nadu,Nilgiris,,,2050,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Nilgiris"", ""year"": ""2050""}",
2026-02-11T03:16:11.077698+00:00,predict_success,Tamil Nadu,Nilgiris,,,2050,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Nilgiris"", ""year"": ""2050""}","{""district"": ""Nilgiris"", ""year"": 2050, ""wqi"": {""class"": ""Moderate"", ""value"": 46.29, ""range"": [45.0, 49.29]}, ""hhi"": {""class"": ""High"", ""value"": 1.77, ""range"": [1.5, 2.07]}, ""trend"": [{""year"": 2045, ""wqi_value"": 46.48, ""hhi_value"": 2.79, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}, {""year"": 2046, ""wqi_value"": 78.62, ""hhi_value"": 1.03, ""wqi_class"": ""Poor"", ""hhi_class"": ""Medium""}, {""year"": 2047, ""wqi_value"": 86.78, ""hhi_value"": 0.64, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Low""}, {""year"": 2048, ""wqi_value"": 32.95, ""hhi_value"": 0.19, ""wqi_class"": ""Good"", ""hhi_class"": ""Low""}, {""year"": 2049, ""wqi_value"": 25.98, ""hhi_value"": 1.86, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2050, ""wqi_value"": 46.29, ""hhi_value"": 1.77, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}]}"
2026-02-11T03:16:11.091261+00:00,predict_client,Tamil Nadu,Nilgiris,,,2050,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Nilgiris"", ""year"": ""2050""}",
2026-02-11T03:16:11.735123+00:00,predict_success,Tamil Nadu,Nilgiris,,,2050,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Nilgiris"", ""year"": ""2050""}","{""district"": ""Nilgiris"", ""year"": 2050, ""wqi"": {""class"": ""Moderate"", ""value"": 46.29, ""range"": [45.0, 49.29]}, ""hhi"": {""class"": ""High"", ""value"": 1.77, ""range"": [1.5, 2.07]}, ""trend"": [{""year"": 2045, ""wqi_value"": 46.48, ""hhi_value"": 2.79, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}, {""year"": 2046, ""wqi_value"": 78.62, ""hhi_value"": 1.03, ""wqi_class"": ""Poor"", ""hhi_class"": ""Medium""}, {""year"": 2047, ""wqi_value"": 86.78, ""hhi_value"": 0.64, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Low""}, {""year"": 2048, ""wqi_value"": 32.95, ""hhi_value"": 0.19, ""wqi_class"": ""Good"", ""hhi_class"": ""Low""}, {""year"": 2049, ""wqi_value"": 25.98, ""hhi_value"": 1.86, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2050, ""wqi_value"": 46.29, ""hhi_value"": 1.77, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}]}"
2026-02-11T03:16:11.742341+00:00,predict_client,Tamil Nadu,Nilgiris,,,2050,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Nilgiris"", ""year"": ""2050""}",
